,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1667,1667,20220531,4437,ｇｏｏｄｄａｙｓホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1668,1668,20220531,4438,Ｗｅｌｂｙ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1669,1669,20220531,4439,東名,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1670,1670,20220531,4440,ヴィッツ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1671,1671,20220531,4441,トビラシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1672,1672,20220531,4442,バルテス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1673,1673,20220531,4443,Ｓａｎｓａｎ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1674,1674,20220531,4444,インフォネット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1675,1675,20220531,4445,リビン・テクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1676,1676,20220531,4446,Ｌｉｎｋ－Ｕ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1677,1677,20220531,4448,Ｃｈａｔｗｏｒｋ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1678,1678,20220531,4449,ギフティ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1679,1679,20220531,4450,パワーソリューションズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1687,1687,20220531,4475,ＨＥＮＮＧＥ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1688,1688,20220531,4476,ＡＩ　ＣＲＯＳＳ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1689,1689,20220531,4477,ＢＡＳＥ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1690,1690,20220531,4478,フリー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1691,1691,20220531,4479,マクアケ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1692,1692,20220531,4480,メドレー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1693,1693,20220531,4481,ベース,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1694,1694,20220531,4482,ウィルズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1695,1695,20220531,4483,ＪＭＤＣ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1696,1696,20220531,4484,ランサーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1697,1697,20220531,4485,ＪＴＯＷＥＲ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1698,1698,20220531,4486,ユナイトアンドグロウ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1699,1699,20220531,4487,スペースマーケット,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1700,1700,20220531,4488,ＡＩ　ｉｎｓｉｄｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1701,1701,20220531,4489,ペイロール,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1702,1702,20220531,4490,ビザスク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1703,1703,20220531,4491,コンピューターマネージメント,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1704,1704,20220531,4492,ゼネテック,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1705,1705,20220531,4493,サイバーセキュリティクラウド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1706,1706,20220531,4494,バリオセキュア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1707,1707,20220531,4495,アイキューブドシステムズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1708,1708,20220531,4496,コマースＯｎｅホールディングス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1709,1709,20220531,4498,サイバートラスト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1710,1710,20220531,4499,Ｓｐｅｅｅ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1798,1798,20220531,4644,イマジニア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1807,1807,20220531,4662,フォーカスシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1811,1811,20220531,4667,アイサンテクノロジー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1815,1815,20220531,4674,クレスコ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1816,1816,20220531,4676,フジ・メディア・ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1821,1821,20220531,4684,オービック,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1822,1822,20220531,4685,菱友システムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1823,1823,20220531,4686,ジャストシステム,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1824,1824,20220531,4687,ＴＤＣソフト,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1825,1825,20220531,4689,Ｚホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,2,TOPIX Large70
1829,1829,20220531,4704,トレンドマイクロ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1833,1833,20220531,4709,ＩＤホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1836,1836,20220531,4716,日本オラクル,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1838,1838,20220531,4719,アルファシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1840,1840,20220531,4722,フューチャー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1841,1841,20220531,4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1842,1842,20220531,4726,ＳＢテクノロジー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1843,1843,20220531,4728,トーセ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1845,1845,20220531,4733,オービックビジネスコンサルタント,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1847,1847,20220531,4736,日本ラッド,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1848,1848,20220531,4739,伊藤忠テクノソリューションズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1849,1849,20220531,4743,アイティフォー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1851,1851,20220531,4746,東計電算,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1852,1852,20220531,4748,構造計画研究所,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1855,1855,20220531,4752,昭和システムエンジニアリング,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1859,1859,20220531,4761,さくらケーシーエス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1860,1860,20220531,4762,エックスネット,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1865,1865,20220531,4768,大塚商会,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
1866,1866,20220531,4769,ＩＣ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1867,1867,20220531,4770,図研エルミック,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1869,1869,20220531,4772,ストリームメディアコーポレーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1870,1870,20220531,4776,サイボウズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1871,1871,20220531,4777,ガーラ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1873,1873,20220531,4783,日本コンピュータ・ダイナミクス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1876,1876,20220531,4800,オリコン,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1879,1879,20220531,4812,電通国際情報サービス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1880,1880,20220531,4813,ＡＣＣＥＳＳ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1881,1881,20220531,4814,ネクストウェア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1882,1882,20220531,4816,東映アニメーション,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1883,1883,20220531,4819,デジタルガレージ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1884,1884,20220531,4820,イーエムシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1885,1885,20220531,4824,メディアシーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1886,1886,20220531,4825,ウェザーニューズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1887,1887,20220531,4826,ＣＩＪ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1888,1888,20220531,4828,ビジネスエンジニアリング,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1889,1889,20220531,4829,日本エンタープライズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1890,1890,20220531,4832,ＪＦＥシステムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1893,1893,20220531,4838,スペースシャワーネットワーク,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1894,1894,20220531,4839,ＷＯＷＯＷ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1896,1896,20220531,4845,スカラ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1897,1897,20220531,4847,インテリジェント　ウェイブ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1977,1977,20220531,5025,マーキュリーリアルテックイノベーター,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1978,1978,20220531,5026,トリプルアイズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1979,1979,20220531,5028,セカンドサイトアナリティカ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1980,1980,20220531,5029,サークレイス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1981,1981,20220531,5031,モイ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
2744,2744,20220531,6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
2747,2747,20220531,6888,アクモス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
2778,2778,20220531,6942,ソフィアホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3109,3109,20220531,7518,ネットワンシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3116,3116,20220531,7527,システムソフト,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3143,3143,20220531,7595,アルゴグラフィックス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3290,3290,20220531,7844,マーベラス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3293,3293,20220531,7849,スターツ出版,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3299,3299,20220531,7860,エイベックス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3425,3425,20220531,8056,ＢＩＰＲＯＧＹ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3450,3450,20220531,8096,兼松エレクトロニクス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3490,3490,20220531,8157,都築電気,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3907,3907,20220531,9360,鈴与シンワート,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3926,3926,20220531,9399,ビート・ホールディングス・リミテッド,スタンダード（外国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3927,3927,20220531,9401,ＴＢＳホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3928,3928,20220531,9404,日本テレビホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3929,3929,20220531,9405,朝日放送グループホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3930,3930,20220531,9408,新潟放送,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3931,3931,20220531,9409,テレビ朝日ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3932,3932,20220531,9412,スカパーＪＳＡＴホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3933,3933,20220531,9413,テレビ東京ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3934,3934,20220531,9414,日本ＢＳ放送,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3935,3935,20220531,9416,ビジョン,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3936,3936,20220531,9417,スマートバリュー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3937,3937,20220531,9418,ＵＳＥＮ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3938,3938,20220531,9419,ワイヤレスゲート,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3939,3939,20220531,9421,エヌジェイホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3940,3940,20220531,9422,コネクシオ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3941,3941,20220531,9423,フォーバル・リアルストレート,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3942,3942,20220531,9424,日本通信,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3943,3943,20220531,9425,日本テレホン,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3944,3944,20220531,9428,クロップス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3945,3945,20220531,9432,日本電信電話,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,1,TOPIX Core30
3946,3946,20220531,9433,ＫＤＤＩ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,1,TOPIX Core30
3947,3947,20220531,9434,ソフトバンク,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,2,TOPIX Large70
3948,3948,20220531,9435,光通信,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3949,3949,20220531,9436,沖縄セルラー電話,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3950,3950,20220531,9438,エムティーアイ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3952,3952,20220531,9441,ベルパーク,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3953,3953,20220531,9444,トーシンホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3954,3954,20220531,9445,フォーバルテレコム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3955,3955,20220531,9446,サカイホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3956,3956,20220531,9449,ＧＭＯインターネット,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3957,3957,20220531,9450,ファイバーゲート,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3958,3958,20220531,9465,Ｋｉｐｓ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3959,3959,20220531,9466,アイドママーケティングコミュニケーション,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3960,3960,20220531,9467,アルファポリス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3961,3961,20220531,9468,ＫＡＤＯＫＡＷＡ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3962,3962,20220531,9470,学研ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3963,3963,20220531,9474,ゼンリン,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
3964,3964,20220531,9475,昭文社ホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3965,3965,20220531,9476,中央経済社ホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3966,3966,20220531,9478,ＳＥホールディングス・アンド・インキュベーションズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
3967,3967,20220531,9479,インプレスホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3993,3993,20220531,9600,アイネット,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
3994,3994,20220531,9601,松竹,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3995,3995,20220531,9602,東宝,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
3997,3997,20220531,9605,東映,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4000,4000,20220531,9613,エヌ・ティ・ティ・データ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
4008,4008,20220531,9629,ピー・シー・エー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4016,4016,20220531,9640,セゾン情報システムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4020,4020,20220531,9651,日本プロセス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4022,4022,20220531,9658,ビジネスブレイン太田昭和,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4029,4029,20220531,9682,ＤＴＳ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4030,4030,20220531,9684,スクウェア・エニックス・ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
4031,4031,20220531,9685,ＫＹＣＯＭホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4033,4033,20220531,9687,ＫＳＫ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4034,4034,20220531,9691,両毛システムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4035,4035,20220531,9692,シーイーシー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4037,4037,20220531,9697,カプコン,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
4038,4038,20220531,9698,クレオ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4041,4041,20220531,9702,アイ・エス・ビー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4045,4045,20220531,9709,ＮＣＳ＆Ａ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4049,4049,20220531,9717,ジャステック,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4050,4050,20220531,9719,ＳＣＳＫ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
4061,4061,20220531,9739,日本システムウエア,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4063,4063,20220531,9742,アイネス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4066,4066,20220531,9746,ＴＫＣ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4067,4067,20220531,9749,富士ソフト,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4068,4068,20220531,9753,アイエックス・ナレッジ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4071,4071,20220531,9759,ＮＳＤ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4076,4076,20220531,9766,コナミホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
4087,4087,20220531,9790,福井コンピュータホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4091,4091,20220531,9799,旭情報サービス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
4129,4129,20220531,9889,ＪＢＣＣホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
4143,4143,20220531,9928,ミロク情報サービス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
4172,4172,20220531,9984,ソフトバンクグループ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,1,TOPIX Core30
